Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Mecoptera,Blattodea,Trichoptera,Ephemeroptera,Zygentoma,Neuroptera
C1,6/5/2019,SNY,42,6,2,1,0,0,0,0,0,0,0,0,0,0
C2,6/5/2019,SNY,38,5,2,0,0,0,5,0,0,0,0,0,0,0
C3,6/5/2019,SNY,26,2,2,0,0,0,5,0,0,0,0,0,0,0
C4,6/5/2019,SNY,30,1,1,0,0,0,0,0,0,0,0,0,0,0
C5,6/5/2019,WPR,60,6,1,1,0,0,0,0,0,0,0,0,0,0
C6,6/5/2019,WPR,29,5,1,0,0,0,0,0,0,0,0,0,0,0
C7,6/5/2019,WPR,26,9,0,0,0,0,4,0,0,0,0,0,0,0
C8,6/5/2019,WPR,47,42,0,1,0,0,6,0,0,0,0,0,0,0
C9,6/5/2019,WPR,105,12,4,0,0,0,2,0,0,0,0,0,0,0
C10,6/5/2019,WLR,13,2,0,0,0,0,11,0,0,0,0,0,0,0
C11,6/5/2019,WLR,15,11,0,0,0,0,4,0,0,0,0,0,0,0
C12,6/5/2019,WLR,38,3,0,0,0,0,0,0,0,0,0,0,0,0
C13,6/5/2019,WLR,19,2,0,0,0,0,0,0,0,0,0,0,0,0
C23,6/13/2019,BFB,87,2,1,0,0,0,0,0,0,0,0,0,0,0
C25,6/13/2019,BFB,144,11,1,0,0,0,0,0,0,0,0,0,0,0
C28,6/13/2019,BFB,122,7,1,0,0,0,1,0,0,0,0,0,0,0
C37,6/13/2019,SSH,87,20,2,2,0,0,0,0,0,0,0,0,0,0
C39,6/13/2019,SSH,48,6,2,1,0,0,0,0,0,0,0,0,0,0
C40,6/13/2019,SSH,66,2,1,0,0,0,0,0,0,0,0,0,0,0
C24,6/13/2019,BFB,125,10,6,0,0,0,4,0,0,0,0,0,0,0
C26,6/13/2019,BFB,76,15,5,0,0,0,5,0,0,0,0,0,0,0
C27,6/13/2019,BFB,106,8,1,1,0,0,1,0,0,0,0,0,0,0
C29,6/13/2019,BFB,112,0,1,0,0,0,1,0,0,0,0,0,0,0
C36,6/13/2019,SSH,64,4,1,0,1,0,3,0,0,0,0,0,0,0
C38,6/13/2019,SSH,44,6,3,1,1,0,0,0,0,0,0,0,0,0
C41,6/13/2019,SSH,51,3,2,0,0,0,0,0,0,0,0,0,0,0
C48,6/20/2019,DAL,28,1,9,0,0,0,0,0,0,0,0,0,0,0
C51,6/20/2019,DAL,31,1,8,0,0,0,5,0,0,0,0,0,0,0
C55,6/20/2019,BAL,45,1,1,0,0,0,0,0,0,0,0,0,0,0
C57,6/20/2019,BAL,32,0,3,2,0,0,0,0,0,0,0,0,0,0
C49,6/20/2019,DAL,41,1,0,0,0,0,1,0,0,0,0,0,0,0
C50,6/20/2019,DAL,29,1,10,5,0,0,5,0,0,0,0,0,0,0
C52,6/20/2019,CHA,26,5,0,0,0,0,0,0,0,0,0,0,0,0
C53,6/20/2019,CHA,31,2,4,0,0,0,0,0,0,0,0,0,0,0
C54,6/20/2019,CHA,24,2,4,0,0,0,0,0,0,0,0,0,0,0
C56,6/20/2019,BAL,33,1,2,0,0,0,0,0,0,0,0,0,0,0
C58,7/10/2019,SNY,33,2,2,2,0,0,0,0,0,0,0,0,0,0
C59,7/10/2019,SNY,18,4,3,4,0,0,0,0,0,0,0,0,0,0
C60,7/10/2019,SNY,11,1,1,1,0,0,0,0,0,0,0,0,0,0
C61,7/10/2019,SNY,21,6,5,1,0,0,0,0,0,0,0,0,0,0
C63,7/10/2019,WPR,27,6,2,2,0,0,4,0,0,0,0,0,0,0
C64,7/10/2019,WPR,6,4,1,2,0,0,0,0,0,0,0,0,0,0
C65,7/10/2019,WPR,22,6,2,1,0,0,1,0,0,0,0,0,0,0
C67,7/10/2019,WLR,33,1,2,1,0,0,2,0,0,0,0,0,0,0
C62,7/10/2019,WPR,15,6,4,1,0,0,5,0,0,0,0,0,0,0
C66,7/10/2019,WLR,24,2,2,0,0,0,8,0,0,0,0,0,0,0
C68,7/10/2019,WLR,38,3,0,0,0,0,0,0,0,0,0,0,0,0
C69,7/10/2019,WLR,33,4,1,1,0,0,3,0,0,0,0,0,0,0
C73,7/18/2019,DGM,74,3,2,1,0,0,6,0,0,0,0,0,0,0
C75,7/18/2019,DGM,54,3,4,0,0,0,3,0,0,0,0,0,0,0
C77,7/18/2019,DGM,58,1,2,1,0,0,12,0,0,0,0,0,0,0
C74,7/18/2019,DGM,57,9,5,0,0,1,0,0,0,0,0,0,0,0
C76,7/18/2019,DGM,48,2,9,1,0,0,2,0,0,0,0,0,0,0
C78,7/18/2019,DGM,56,2,2,0,0,0,7,0,0,0,0,0,0,1
C79,7/25/2019,CHA,27,5,1,1,0,0,3,0,0,0,0,0,0,0
C80,7/25/2019,CHA,30,9,0,0,1,0,4,0,0,0,0,0,0,0
C81,7/25/2019,CHA,29,8,1,0,0,0,13,0,0,0,0,0,0,0
C82,7/25/2019,BAL,39,21,19,5,1,0,9,0,0,0,1,1,0,0
C83,7/25/2019,BAL,119,19,10,0,0,0,2,0,0,0,0,0,0,0
C84,7/25/2019,BAL,60,8,3,3,1,0,4,0,0,0,0,3,0,0
C85,7/25/2019,DAL,145,16,2,19,1,0,2,0,0,0,0,0,0,0
C86,7/25/2019,DAL,111,7,4,5,1,0,6,0,0,0,0,0,0,0
C87,7/25/2019,DAL,82,4,1,8,2,0,3,0,0,0,0,0,0,0
C88,7/25/2019,DAL,169,10,9,5,5,0,2,0,0,0,0,0,0,0
C89,8/8/2019,WPR,20,11,3,1,0,2,3,0,0,0,0,0,0,0
C90,8/8/2019,WPR,11,16,2,2,0,0,0,0,0,0,0,0,0,0
C91,8/8/2019,WPR,13,12,7,1,0,0,1,1,0,0,1,0,0,0
C92,8/8/2019,WPR,10,8,2,1,0,0,3,2,0,0,0,0,0,0
C93,8/8/2019,WLR,12,5,0,0,0,0,0,1,0,0,0,0,0,0
C94,8/8/2019,WLR,7,8,3,0,0,0,2,2,0,0,0,0,0,0
C95,8/8/2019,WLR,4,2,1,0,0,0,0,1,0,0,0,0,0,0
C96,8/8/2019,WLR,3,5,2,0,0,0,1,1,0,0,0,0,0,0
C97,8/8/2019,SNY,9,5,2,0,0,0,3,1,0,0,0,0,0,0
C98,8/8/2019,SNY,11,11,7,0,0,0,0,1,0,0,0,0,0,0
C99,8/8/2019,SNY,9,4,0,0,0,0,1,1,0,0,0,0,0,0
C100,8/8/2019,SNY,11,2,2,2,0,0,0,1,0,0,0,0,0,0
C101,7/18/2019,SSH,32,5,21,0,0,0,6,0,0,0,0,0,0,0
C102,7/18/2019,SSH,50,7,18,2,0,0,4,0,0,0,0,0,0,0
C103,7/18/2019,SSH,64,6,26,0,1,0,10,0,0,0,0,0,0,0
C104,7/18/2019,SSH,28,12,20,1,0,0,8,0,0,0,0,0,0,0
C105,7/18/2019,SSH,36,6,11,0,0,0,3,1,0,0,0,0,0,0
C106,7/18/2019,SSH,66,11,18,0,0,0,2,1,0,0,0,0,0,0
C119,7/18/2019,BFB,218,3,7,5,0,0,0,0,0,0,0,0,0,0
C120,7/18/2019,BFB,247,2,14,2,0,0,2,0,0,0,0,0,0,0
C121,7/18/2019,BFB,84,9,14,2,0,0,6,0,0,0,0,0,0,0
C122,7/18/2019,BFB,122,14,5,1,1,0,2,0,0,0,0,0,0,0
C123,7/18/2019,BFB,165,7,5,1,0,0,4,0,0,0,0,0,0,0
C124,7/18/2019,BFB,205,9,9,2,0,0,1,0,0,0,0,0,0,0
C131,8/14/2019,CHA,14,5,2,0,1,0,1,0,0,0,0,0,0,0
C132,8/14/2019,CHA,10,2,2,0,0,0,2,0,0,0,0,0,0,0
C133,8/14/2019,CHA,17,3,2,1,3,0,3,0,0,0,0,0,0,0
C134,8/14/2019,BAL,28,8,10,1,2,0,0,0,0,0,0,0,0,0
C135,8/14/2019,BAL,26,9,16,0,1,0,0,0,0,0,0,0,0,0
C136,8/14/2019,BAL,15,4,18,0,0,0,0,0,0,0,0,0,0,0
C137,8/14/2019,DAL,60,901,5,1,3,0,2,0,0,0,0,0,0,0
C138,8/14/2019,DAL,42,829,9,2,0,0,4,0,0,0,0,0,0,0
C139,8/14/2019,DAL,54,1333,7,0,2,0,1,0,0,0,0,0,0,0
C140,8/14/2019,DAL,113,1031,4,0,0,0,0,0,0,0,0,0,0,0
C156,8/22/2019,SSH,25,11,518,5,0,0,10,0,0,0,0,0,0,0
C157,8/22/2019,SSH,23,3,223,2,0,0,8,0,0,0,0,0,0,0
C158,8/22/2019,SSH,17,8,389,3,0,0,4,0,0,0,0,0,0,0
C159,8/22/2019,SSH,13,8,366,4,0,0,1,0,0,0,0,0,0,0
C160,8/22/2019,SSH,16,10,45,5,0,0,0,0,0,0,0,0,0,0
C161,8/22/2019,SSH,21,5,307,3,1,0,1,0,0,0,0,0,0,0
C168,8/22/2019,DGM,29,7,72,3,0,0,4,0,0,0,0,0,0,0
C169,8/22/2019,DGM,21,2,25,1,0,1,0,0,0,0,0,0,0,1
C170,8/22/2019,DGM,28,2,32,3,1,1,1,0,0,0,0,0,0,0
C171,8/22/2019,DGM,37,4,17,10,0,1,1,0,0,0,0,0,0,0
C172,8/22/2019,DGM,25,2,4,3,0,2,2,0,0,0,0,0,0,0
C173,8/22/2019,DGM,50,5,16,1,0,1,2,0,0,0,0,0,0,0
C174,8/22/2019,BFB,54,21,336,10,0,0,2,0,0,0,0,0,0,0
C175,8/22/2019,BFB,44,51,365,1,0,0,3,0,0,0,0,0,0,0
C176,8/22/2019,BFB,41,13,248,1,0,0,3,0,0,0,0,0,0,1
C177,8/22/2019,BFB,108,6,233,2,0,0,4,0,0,0,0,0,0,0
C178,8/22/2019,BFB,90,12,502,7,0,0,2,0,0,0,0,0,0,0
C179,8/22/2019,BFB,122,21,567,4,0,0,4,0,0,0,0,0,0,0
C180,6/13/2019,DGM,127,2,0,0,0,0,6,0,0,0,0,0,0,0
C181,6/13/2019,DGM,92,3,1,0,0,0,3,0,0,0,0,0,0,0
C182,6/13/2019,DGM,123,6,1,1,0,0,13,0,0,0,0,0,0,0
C183,6/13/2019,DGM,163,9,4,0,1,0,10,0,0,0,0,0,0,0
C184,6/13/2019,DGM,116,11,4,0,0,0,11,0,0,0,0,0,0,0
C185,6/13/2019,DGM,120,7,2,1,0,0,7,0,0,0,0,0,0,0
